world_joint/x,world_joint/y,world_joint/theta,torso_joint1,limb_right_joint1,limb_right_joint2,limb_right_joint3,limb_right_joint4,limb_right_joint5,limb_right_joint6,limb_right_joint7,hinge
0.000000,0.000000,0.000000,0.407638,2.117603,-0.423087,2.750381,0.564209,0.616055,1.948268,-1.016529,1.000000
0.000000,0.000000,0.000000,0.397167,2.132471,-0.434359,2.762241,0.569917,0.594209,1.929518,-1.009644,1.000000
0.000000,0.000000,0.000000,0.389717,2.143139,-0.442448,2.770140,0.574450,0.579022,1.915918,-1.004978,1.000000
0.000000,0.000000,0.000000,0.387278,2.146654,-0.445092,2.772626,0.576054,0.574141,1.911421,-1.003422,1.000000
0.000000,0.000000,0.000000,0.382541,2.153413,-0.450341,2.777370,0.579336,0.564883,1.902571,-1.000257,1.000000
0.000000,0.000000,0.000000,0.377876,2.160099,-0.455538,2.781890,0.582618,0.555795,1.893788,-0.997361,1.000000
0.000000,0.000000,0.000000,0.375570,2.163411,-0.458109,2.784070,0.584304,0.551361,1.889420,-0.995912,1.000000
0.000000,0.000000,0.000000,0.371068,2.169837,-0.463227,2.788235,0.587657,0.542807,1.880797,-0.993152,1.000000
0.000000,0.000000,0.000000,0.366658,2.176091,-0.468299,2.792216,0.591119,0.534652,1.872259,-0.990272,1.000000
0.000000,0.000000,0.000000,0.362332,2.182236,-0.473329,2.795998,0.594554,0.526689,1.863808,-0.987632,1.000000
0.000000,0.000000,0.000000,0.360190,2.185279,-0.475826,2.797827,0.596302,0.522799,1.859602,-0.986308,1.000000
0.000000,0.000000,0.000000,0.357957,2.188441,-0.478461,2.799703,0.598150,0.518782,1.855183,-0.984942,1.000000
0.000000,0.000000,0.000000,0.351779,2.197136,-0.485876,2.804752,0.603372,0.507849,1.842824,-0.981211,1.000000
0.000000,0.000000,0.000000,0.347761,2.202732,-0.490786,2.807945,0.606918,0.500969,1.834680,-0.978622,1.000000
0.000000,0.000000,0.000000,0.343816,2.208231,-0.495666,2.810982,0.610414,0.494234,1.826618,-0.976259,1.000000
0.000000,0.000000,0.000000,0.339945,2.213601,-0.500524,2.813884,0.613911,0.487734,1.818629,-0.973950,1.000000
0.000000,0.000000,0.000000,0.336154,2.218833,-0.505350,2.816649,0.617397,0.481475,1.810732,-0.971698,1.000000
0.000000,0.000000,0.000000,0.332433,2.223942,-0.510158,2.819293,0.620877,0.475433,1.802903,-0.969495,1.000000
0.000000,0.000000,0.000000,0.325103,2.233856,-0.519878,2.824359,0.627934,0.463936,1.787240,-0.964946,1.000000
0.000000,0.000000,0.000000,0.314755,2.247749,-0.534088,2.831008,0.638145,0.448186,1.764620,-0.958960,1.000000
0.000000,0.000000,0.000000,0.309791,2.254287,-0.541151,2.834034,0.643237,0.441030,1.753520,-0.955910,1.000000
0.000000,0.000000,0.000000,0.303376,2.262701,-0.550517,2.837772,0.649845,0.431881,1.738949,-0.952285,1.000000
0.000000,0.000000,0.000000,0.298626,2.268838,-0.557649,2.840426,0.654881,0.425414,1.727963,-0.949438,1.000000
0.000000,0.000000,0.000000,0.292606,2.276577,-0.566929,2.843644,0.661293,0.417325,1.713809,-0.946090,1.000000
0.000000,0.000000,0.000000,0.289672,2.280317,-0.571553,2.845146,0.664466,0.413501,1.706812,-0.944449,1.000000
0.000000,0.000000,0.000000,0.286790,2.283971,-0.576168,2.846587,0.667608,0.409807,1.699868,-0.942844,1.000000
0.000000,0.000000,0.000000,0.283951,2.287552,-0.580774,2.847971,0.670729,0.406236,1.692970,-0.941258,1.000000
0.000000,0.000000,0.000000,0.278446,2.294399,-0.589961,2.850577,0.676887,0.399573,1.679345,-0.938077,1.000000
0.000000,0.000000,0.000000,0.277088,2.296086,-0.592256,2.851198,0.678407,0.397943,1.675958,-0.937327,1.000000
0.000000,0.000000,0.000000,0.274353,2.299466,-0.596968,2.852427,0.681488,0.394702,1.669045,-0.935849,1.000000
0.000000,0.000000,0.000000,0.273032,2.301095,-0.599257,2.853011,0.682982,0.393156,1.665694,-0.935126,1.000000
0.000000,0.000000,0.000000,0.270446,2.304266,-0.603821,2.854133,0.685924,0.390173,1.659052,-0.933740,1.000000
0.000000,0.000000,0.000000,0.267893,2.307383,-0.608378,2.855215,0.688845,0.387280,1.652446,-0.932363,1.000000
0.000000,0.000000,0.000000,0.262941,2.313379,-0.617466,2.857247,0.694565,0.381811,1.639384,-0.929746,1.000000
0.000000,0.000000,0.000000,0.261723,2.314846,-0.619732,2.857732,0.695981,0.380496,1.636141,-0.929099,1.000000
0.000000,0.000000,0.000000,0.260520,2.316292,-0.622002,2.858206,0.697387,0.379210,1.632906,-0.928466,1.000000
0.000000,0.000000,0.000000,0.259329,2.317717,-0.624265,2.858669,0.698781,0.377951,1.629690,-0.927843,1.000000
0.000000,0.000000,0.000000,0.258148,2.319129,-0.626529,2.859124,0.700169,0.376712,1.626478,-0.927226,1.000000
0.000000,0.000000,0.000000,0.256148,2.322282,-0.626585,2.860446,0.702032,0.373425,1.624884,-0.924348,1.000000
0.000000,0.000000,0.000000,0.258143,2.319130,-0.626532,2.859127,0.700165,0.376701,1.626476,-0.927229,1.000000
0.000000,0.000000,0.000000,0.260146,2.315978,-0.626477,2.857807,0.698304,0.379992,1.628071,-0.930099,1.000000
0.000000,0.000000,0.000000,0.264246,2.309568,-0.626362,2.855121,0.694534,0.386732,1.631329,-0.935887,1.000000
0.000000,0.000000,0.000000,0.266303,2.306366,-0.626300,2.853771,0.692659,0.390116,1.632960,-0.938774,1.000000
0.000000,0.000000,0.000000,0.268416,2.303094,-0.626235,2.852391,0.690752,0.393593,1.634631,-0.941701,1.000000
0.000000,0.000000,0.000000,0.270512,2.299862,-0.626168,2.851026,0.688875,0.397045,1.636286,-0.944581,1.000000
0.000000,0.000000,0.000000,0.272640,2.296593,-0.626099,2.849642,0.686984,0.400551,1.637962,-0.947481,1.000000
0.000000,0.000000,0.000000,0.274869,2.293183,-0.626025,2.848197,0.685018,0.404225,1.639715,-0.950493,1.000000
0.000000,0.000000,0.000000,0.281484,2.283139,-0.625802,2.843943,0.679271,0.415135,1.644900,-0.959260,1.000000
0.000000,0.000000,0.000000,0.283725,2.279760,-0.625719,2.842498,0.677355,0.418836,1.646649,-0.962199,1.000000
0.000000,0.000000,0.000000,0.285981,2.276375,-0.625633,2.841050,0.675447,0.422565,1.648406,-0.965120,1.000000
0.000000,0.000000,0.000000,0.290614,2.269465,-0.625455,2.838094,0.671578,0.430227,1.652004,-0.971027,1.000000
0.000000,0.000000,0.000000,0.295318,2.262496,-0.625266,2.835099,0.667716,0.438018,1.655643,-0.976938,1.000000
0.000000,0.000000,0.000000,0.302566,2.251853,-0.624962,2.830511,0.661891,0.450039,1.661224,-0.985848,1.000000
0.000000,0.000000,0.000000,0.307499,2.244678,-0.624739,2.827395,0.658028,0.458239,1.665002,-0.991787,1.000000
0.000000,0.000000,0.000000,0.310019,2.241030,-0.624617,2.825799,0.656083,0.462433,1.666925,-0.994797,1.000000
0.000000,0.000000,0.000000,0.315133,2.233678,-0.624372,2.822586,0.652208,0.470952,1.670814,-1.000783,1.000000
0.000000,0.000000,0.000000,0.317743,2.229945,-0.624239,2.820943,0.650263,0.475307,1.672792,-1.003807,1.000000
0.000000,0.000000,0.000000,0.320363,2.226212,-0.624102,2.819295,0.648332,0.479682,1.674773,-1.006817,1.000000
0.000000,0.000000,0.000000,0.323012,2.222450,-0.623961,2.817631,0.646402,0.484110,1.676771,-1.009834,1.000000
0.000000,0.000000,0.000000,0.325785,2.218527,-0.623811,2.815890,0.644406,0.488749,1.678858,-1.012965,1.000000
0.000000,0.000000,0.000000,0.325717,2.218624,-0.623815,2.815933,0.644455,0.488633,1.678806,-1.012887,1.000000
0.000000,0.000000,0.000000,0.328504,2.214694,-0.623660,2.814185,0.642473,0.493300,1.680899,-1.016008,1.000000
0.000000,0.000000,0.000000,0.331243,2.210846,-0.623505,2.812468,0.640548,0.497891,1.682951,-1.019047,1.000000
0.000000,0.000000,0.000000,0.334041,2.206931,-0.623343,2.810715,0.638608,0.502583,1.685041,-1.022124,1.000000
0.000000,0.000000,0.000000,0.339686,2.199067,-0.623014,2.807187,0.634756,0.512062,1.689247,-1.028252,1.000000
0.000000,0.000000,0.000000,0.345453,2.191088,-0.622663,2.803585,0.630925,0.521766,1.693523,-1.034405,1.000000
0.000000,0.000000,0.000000,0.351393,2.182929,-0.622287,2.799876,0.627089,0.531780,1.697904,-1.040634,1.000000
0.000000,0.000000,0.000000,0.357445,2.174675,-0.621888,2.796096,0.623297,0.542004,1.702345,-1.046872,1.000000
0.000000,0.000000,0.000000,0.360511,2.170519,-0.621675,2.794174,0.621428,0.547194,1.704585,-1.049994,1.000000
0.000000,0.000000,0.000000,0.363665,2.166259,-0.621452,2.792197,0.619536,0.552538,1.706883,-1.053179,1.000000
0.000000,0.000000,0.000000,0.366837,2.161992,-0.621223,2.790207,0.617667,0.557918,1.709187,-1.056353,1.000000
0.000000,0.000000,0.000000,0.368409,2.159794,-0.618946,2.789381,0.616431,0.560156,1.712618,-1.057182,1.000000
0.000000,0.000000,0.000000,0.366829,2.162003,-0.621226,2.790220,0.617667,0.557895,1.709178,-1.056347,1.000000
0.000000,0.000000,0.000000,0.362179,2.168475,-0.628078,2.792652,0.621354,0.551341,1.698918,-1.053900,1.000000
0.000000,0.000000,0.000000,0.357669,2.174739,-0.634900,2.794930,0.625005,0.545121,1.688784,-1.051546,1.000000
0.000000,0.000000,0.000000,0.353214,2.180908,-0.641831,2.797103,0.628686,0.539122,1.678580,-1.049242,1.000000
0.000000,0.000000,0.000000,0.347602,2.188650,-0.650858,2.799744,0.633423,0.531766,1.665423,-1.046370,1.000000
0.000000,0.000000,0.000000,0.342222,2.196051,-0.659848,2.802165,0.638076,0.524936,1.652467,-1.043652,1.000000
0.000000,0.000000,0.000000,0.337068,2.203121,-0.668795,2.804383,0.642633,0.518606,1.639714,-1.041085,1.000000
0.000000,0.000000,0.000000,0.333339,2.208228,-0.675488,2.805922,0.645994,0.514163,1.630261,-1.039252,1.000000
0.000000,0.000000,0.000000,0.329664,2.213255,-0.682285,2.807392,0.649357,0.509897,1.620740,-1.037466,1.000000
0.000000,0.000000,0.000000,0.326174,2.218025,-0.688937,2.808744,0.652600,0.505952,1.611495,-1.035790,1.000000
0.000000,0.000000,0.000000,0.321697,2.224135,-0.697777,2.810424,0.656830,0.501046,1.599317,-1.033672,1.000000
0.000000,0.000000,0.000000,0.317415,2.229981,-0.706589,2.811969,0.660954,0.496525,1.587298,-1.031682,1.000000
0.000000,0.000000,0.000000,0.312276,2.237002,-0.717682,2.813752,0.666009,0.491332,1.572330,-1.029345,1.000000
0.000000,0.000000,0.000000,0.310323,2.239677,-0.722058,2.814399,0.667961,0.489435,1.566476,-1.028474,1.000000
0.000000,0.000000,0.000000,0.307480,2.243577,-0.728605,2.815324,0.670835,0.486745,1.557768,-1.027224,1.000000
0.000000,0.000000,0.000000,0.306550,2.244856,-0.730782,2.815619,0.671782,0.485882,1.554882,-1.026819,1.000000
0.000000,0.000000,0.000000,0.305633,2.246117,-0.732964,2.815907,0.672721,0.485045,1.552000,-1.026423,1.000000
0.000000,0.000000,0.000000,0.304727,2.247365,-0.735144,2.816189,0.673653,0.484228,1.549127,-1.026034,1.000000
0.000000,0.000000,0.000000,0.303834,2.248596,-0.737319,2.816465,0.674577,0.483432,1.546267,-1.025654,1.000000
0.000000,0.000000,0.000000,0.302065,2.251039,-0.741666,2.817008,0.676413,0.481869,1.540560,-1.024903,1.000000
0.000000,0.000000,0.000000,0.301223,2.252206,-0.743828,2.817261,0.677304,0.481159,1.537743,-1.024555,1.000000
0.000000,0.000000,0.000000,0.300373,2.253384,-0.745996,2.817515,0.678199,0.480439,1.534917,-1.024202,1.000000
0.000000,0.000000,0.000000,0.298692,2.255719,-0.750325,2.818014,0.679978,0.479027,1.529283,-1.023508,1.000000
0.000000,0.000000,0.000000,0.297845,2.256901,-0.752604,2.818261,0.680890,0.478350,1.526338,-1.023168,1.000000
0.000000,0.000000,0.000000,0.297041,2.258024,-0.754761,2.818494,0.681755,0.477705,1.523551,-1.022845,1.000000
0.000000,0.000000,0.000000,0.296244,2.259139,-0.756923,2.818723,0.682616,0.477075,1.520761,-1.022527,1.000000
0.000000,0.000000,0.000000,0.295459,2.260240,-0.759081,2.818948,0.683469,0.476463,1.517985,-1.022216,1.000000
0.000000,0.000000,0.000000,0.294684,2.261329,-0.761236,2.819167,0.684314,0.475868,1.515217,-1.021911,0.980907
0.000000,0.000000,0.000000,0.293921,2.262404,-0.763385,2.819382,0.685151,0.475292,1.512461,-1.021614,0.980907
0.000000,0.000000,0.000000,0.293165,2.263470,-0.765541,2.819594,0.685984,0.474730,1.509703,-1.021323,0.983294
0.000000,0.000000,0.000000,0.292423,2.264521,-0.767688,2.819800,0.686807,0.474187,1.506962,-1.021039,0.983294
0.000000,0.000000,0.000000,0.291689,2.265562,-0.769836,2.820003,0.687624,0.473659,1.504225,-1.020761,0.985680
0.000000,0.000000,0.000000,0.290964,2.266594,-0.771986,2.820201,0.688436,0.473147,1.501490,-1.020489,0.985680
0.000000,0.000000,0.000000,0.290254,2.267608,-0.774123,2.820395,0.689235,0.472654,1.498779,-1.020226,0.988067
0.000000,0.000000,0.000000,0.289550,2.268616,-0.776270,2.820586,0.690033,0.472174,1.496059,-1.019967,0.988067
0.000000,0.000000,0.000000,0.288857,2.269612,-0.778412,2.820773,0.690822,0.471711,1.493351,-1.019715,0.988067
0.000000,0.000000,0.000000,0.286212,2.272891,-0.778738,2.821677,0.692698,0.468148,1.491601,-1.016935,0.990453
0.000000,0.000000,0.000000,0.283610,2.276129,-0.779062,2.822569,0.694557,0.464645,1.489872,-1.014177,0.988067
0.000000,0.000000,0.000000,0.281033,2.279345,-0.779385,2.823453,0.696411,0.461180,1.488160,-1.011428,0.988067
0.000000,0.000000,0.000000,0.278482,2.282538,-0.779705,2.824331,0.698260,0.457752,1.486462,-1.008685,0.985680
0.000000,0.000000,0.000000,0.275943,2.285724,-0.780024,2.825205,0.700111,0.454345,1.484771,-1.005938,0.985680
0.000000,0.000000,0.000000,0.270895,2.292076,-0.780658,2.826946,0.703815,0.447577,1.481410,-1.000438,0.983294
0.000000,0.000000,0.000000,0.268446,2.295184,-0.780977,2.827795,0.705638,0.444300,1.479762,-0.997726,0.980907
0.000000,0.000000,0.000000,0.265993,2.298299,-0.781289,2.828646,0.707474,0.441020,1.478122,-0.994995,0.980907
0.000000,0.000000,0.000000,0.263563,2.301394,-0.781600,2.829491,0.709303,0.437774,1.476496,-0.992272,0.978520
0.000000,0.000000,0.000000,0.261026,2.304634,-0.781925,2.830374,0.711224,0.434389,1.474798,-0.989409,0.976134
0.000000,0.000000,0.000000,0.258637,2.307695,-0.782232,2.831207,0.713044,0.431205,1.473197,-0.986694,0.976134
0.000000,0.000000,0.000000,0.256264,2.310746,-0.782538,2.832037,0.714864,0.428045,1.471605,-0.983977,0.973747
0.000000,0.000000,0.000000,0.257541,2.309029,-0.778218,2.831725,0.713281,0.428715,1.476982,-0.984411,0.973747
0.000000,0.000000,0.000000,0.258218,2.308130,-0.776047,2.831557,0.712460,0.429102,1.479700,-0.984656,0.971360
0.000000,0.000000,0.000000,0.258891,2.307235,-0.773877,2.831390,0.711642,0.429486,1.482416,-0.984895,0.968974
0.000000,0.000000,0.000000,0.259572,2.306331,-0.771706,2.831219,0.710818,0.429884,1.485138,-0.985141,0.968974
0.000000,0.000000,0.000000,0.260264,2.305415,-0.769534,2.831045,0.709986,0.430297,1.487867,-0.985393,0.966587
0.000000,0.000000,0.000000,0.260964,2.304491,-0.767363,2.830868,0.709148,0.430724,1.490599,-0.985651,0.966587
0.000000,0.000000,0.000000,0.261676,2.303552,-0.765182,2.830687,0.708299,0.431167,1.493349,-0.985916,0.964200
0.000000,0.000000,0.000000,0.262393,2.302609,-0.763013,2.830503,0.707449,0.431622,1.496089,-0.986186,0.964200
0.000000,0.000000,0.000000,0.263126,2.301647,-0.760824,2.830313,0.706584,0.432096,1.498858,-0.986465,0.961814
0.000000,0.000000,0.000000,0.263906,2.300625,-0.758525,2.830111,0.705668,0.432610,1.501773,-0.986764,0.961814
0.000000,0.000000,0.000000,0.264655,2.299646,-0.756346,2.829914,0.704793,0.433113,1.504541,-0.987055,0.959427
0.000000,0.000000,0.000000,0.265415,2.298653,-0.754160,2.829714,0.703909,0.433633,1.507323,-0.987352,0.959427
0.000000,0.000000,0.000000,0.266185,2.297650,-0.751973,2.829509,0.703018,0.434168,1.510111,-0.987656,0.957041
0.000000,0.000000,0.000000,0.263799,2.300777,-0.752252,2.830445,0.704840,0.430870,1.508486,-0.984912,0.957041
0.000000,0.000000,0.000000,0.256820,2.309988,-0.753081,2.833214,0.710244,0.421235,1.503723,-0.976729,0.954654
0.000000,0.000000,0.000000,0.252272,2.316038,-0.753621,2.835021,0.713820,0.414973,1.500612,-0.971311,0.952267
